element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
175,5,20,0,True,2019-08-11T13:00:00Z,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,35855,0,0
175,14,6,0,False,2019-08-18T15:30:00Z,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,-5104,34382,1488,6592
175,27,15,0,False,2019-08-24T14:00:00Z,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-6147,28907,624,6771
175,36,3,1,True,2019-08-31T14:00:00Z,3,1,4,26,0,0,0,0,0,0,0,0,0,0,0,4,4.6,15.0,22.0,4.2,54,-4317,25166,507,4824
175,45,12,2,False,2019-09-14T14:00:00Z,1,0,5,67,0,0,0,1,0,0,0,0,0,0,0,4,10.6,24.3,12.0,4.7,53,-2034,23761,902,2936
175,56,17,0,True,2019-09-21T11:30:00Z,2,1,6,8,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,53,-650,23399,698,1348
175,66,13,1,True,2019-09-29T15:30:00Z,5,0,7,6,0,0,0,0,0,0,0,0,0,0,0,5,2.2,0.7,0.0,0.3,53,-1257,22375,739,1996
175,74,10,0,False,2019-10-05T14:00:00Z,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,53,-1163,21393,388,1551
175,86,5,1,True,2019-10-19T14:00:00Z,2,1,9,23,0,0,0,0,0,0,0,0,0,0,0,1,4.2,15.1,0.0,1.9,52,-927,20647,301,1228
175,98,16,1,False,2019-10-25T19:00:00Z,0,9,10,16,0,0,0,0,0,0,0,0,0,0,0,3,0.2,1.3,2.0,0.4,52,-334,20422,250,584
175,105,7,4,False,2019-11-03T14:00:00Z,0,2,11,16,0,1,0,0,0,0,0,0,0,0,0,13,17.2,11.3,2.0,3.1,52,-676,19860,373,1049
175,113,1,1,True,2019-11-09T17:30:00Z,2,0,12,30,0,0,0,0,0,0,0,0,0,0,0,7,10.8,16.3,28.0,5.5,52,-59,19917,513,572
175,124,4,4,False,2019-11-23T15:00:00Z,0,2,13,12,0,1,0,0,0,0,0,0,0,0,0,10,4.0,0.0,2.0,0.6,52,-145,19934,735,880
175,133,8,0,True,2019-12-01T16:30:00Z,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-164,19860,400,564
175,143,18,0,True,2019-12-04T19:30:00Z,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,52,-654,19249,116,770
175,151,2,0,False,2019-12-08T14:00:00Z,1,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-719,18547,47,766
175,165,14,1,True,2019-12-14T15:00:00Z,1,1,17,51,0,0,0,0,0,0,0,0,0,0,0,4,6.6,4.1,16.0,2.7,51,-375,18267,205,580
175,175,11,1,False,2019-12-21T17:30:00Z,3,1,18,22,0,0,0,1,0,0,0,0,0,0,0,0,0.4,0.9,2.0,0.3,51,-196,18175,177,373
175,186,10,0,True,2019-12-26T20:00:00Z,0,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-152,18097,112,264
175,200,19,5,False,2019-12-28T17:30:00Z,1,2,20,82,1,0,0,1,0,0,1,0,0,0,0,25,43.0,22.0,38.0,10.3,51,-84,18080,167,251
175,206,13,1,False,2020-01-01T15:00:00Z,0,3,21,27,0,0,0,0,0,0,0,0,0,0,0,1,0.0,3.0,13.0,1.3,51,745,18969,1113,368
175,216,16,1,True,2020-01-11T15:00:00Z,1,2,22,23,0,0,0,1,0,0,0,0,0,0,0,3,5.4,0.3,19.0,2.5,51,-169,18904,475,644
175,223,5,0,False,2020-01-19T14:00:00Z,2,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-158,18825,383,541
175,234,19,0,True,2020-01-22T19:30:00Z,4,1,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-225,18665,189,414
175,244,6,0,True,2020-02-01T12:30:00Z,2,2,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-272,18476,210,482
175,260,20,0,False,2020-02-14T20:00:00Z,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-218,18327,106,324
175,265,11,0,True,2020-02-22T17:30:00Z,0,1,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,-178,18217,115,293
