element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
541,49,18,0,False,2019-09-15T15:30:00Z,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0,0,0
541,51,2,1,True,2019-09-22T15:30:00Z,3,2,6,45,0,0,0,1,0,0,0,0,0,0,0,8,8.4,15.3,5.0,2.9,45,3050,3718,3407,357
541,67,12,5,False,2019-09-30T19:00:00Z,1,1,7,79,0,1,0,1,0,0,0,0,0,0,0,14,31.8,30.0,41.0,10.3,45,4683,9432,6291,1608
541,71,3,3,True,2019-10-06T13:00:00Z,1,0,8,82,0,0,1,0,0,0,0,0,0,0,0,10,12.2,26.3,24.0,6.3,45,43815,57643,46489,2674
541,88,15,1,False,2019-10-21T19:00:00Z,1,0,9,90,0,0,0,1,0,0,0,1,0,0,0,7,6.2,17.7,14.0,3.8,45,19820,76596,29189,9369
541,91,7,1,True,2019-10-27T16:30:00Z,2,2,10,29,0,0,0,0,0,0,0,0,0,0,0,2,1.8,0.7,2.0,0.5,45,5092,81567,11456,6364
541,101,20,1,True,2019-11-02T15:00:00Z,1,1,11,17,0,0,0,1,0,0,0,0,0,0,0,0,4.0,1.4,2.0,0.7,45,-3493,78828,9207,12700
541,113,9,0,False,2019-11-09T17:30:00Z,2,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-5404,73164,3758,9162
541,121,16,0,True,2019-11-23T15:00:00Z,2,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-8601,65175,3015,11616
541,137,14,1,False,2019-12-01T14:00:00Z,2,2,14,12,0,0,0,0,0,0,0,0,0,0,0,3,4.0,4.8,6.0,1.5,45,-9342,56107,937,10279
541,141,4,0,True,2019-12-05T20:15:00Z,1,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-4274,52285,989,5263
541,160,19,0,False,2019-12-09T20:00:00Z,1,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-4834,47585,798,5632
541,161,11,1,True,2019-12-15T16:30:00Z,0,3,17,50,0,0,0,0,0,0,0,0,0,0,0,4,8.0,1.1,2.0,1.1,45,-3629,44138,1170,4799
541,174,8,2,False,2019-12-21T12:30:00Z,0,0,18,90,0,0,1,0,0,0,0,1,0,0,0,8,16.6,2.0,0.0,1.9,45,-4046,39557,1172,5218
541,182,3,2,False,2019-12-26T15:00:00Z,1,1,19,90,0,0,0,1,0,0,0,0,0,0,0,16,13.8,11.6,10.0,3.5,45,-528,40147,2050,2578
541,191,6,2,True,2019-12-29T14:00:00Z,1,2,20,90,0,0,0,2,0,0,0,0,0,0,0,8,8.2,12.2,0.0,2.0,45,1015,41426,3095,2080
541,201,12,0,True,2020-01-01T20:00:00Z,2,0,21,21,0,0,0,0,0,0,0,1,0,0,0,2,6.6,0.8,17.0,2.4,45,1628,43368,5861,4233
541,214,7,0,False,2020-01-11T12:30:00Z,1,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-2895,40620,2750,5645
