element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
192,1,14,1,True,2019-08-09T19:00:00Z,4,1,1,16,0,0,0,0,0,0,0,0,0,0,0,3,1.2,1.3,6.0,0.9,115,0,842260,0,0
192,19,16,13,False,2019-08-17T14:00:00Z,1,2,2,90,1,1,0,1,0,0,0,0,0,0,3,45,69.4,56.0,38.0,16.3,115,-51300,863447,64639,115939
192,24,1,3,True,2019-08-24T16:30:00Z,3,1,3,76,0,0,1,0,0,0,0,0,0,0,0,10,20.2,51.2,30.0,10.1,115,277381,1221704,334374,56993
192,32,5,8,False,2019-08-31T16:30:00Z,0,3,4,84,1,0,1,0,0,0,0,0,0,0,0,23,40.2,16.6,37.0,9.4,115,-29935,1205831,102201,132136
192,44,13,15,True,2019-09-14T11:30:00Z,3,1,5,90,2,0,0,1,0,0,0,0,0,0,3,41,67.2,26.0,66.0,15.9,115,39157,1276973,119917,80760
192,53,6,2,False,2019-09-22T15:30:00Z,1,2,6,70,0,0,0,1,0,0,0,0,0,0,0,7,8.2,3.4,6.0,1.8,116,186213,1491310,214436,28223
192,68,15,3,False,2019-09-28T11:30:00Z,0,1,7,90,0,0,1,0,0,0,0,0,0,0,0,-2,0.0,3.6,32.0,3.4,116,-32979,1456661,115519,148498
192,74,9,12,True,2019-10-05T14:00:00Z,2,1,8,90,1,1,0,1,0,0,0,0,0,0,2,35,51.6,16.5,45.0,11.3,116,25505,1499465,88004,62499
192,87,12,2,False,2019-10-20T15:30:00Z,1,1,9,90,0,0,0,1,0,0,0,0,0,0,0,5,6.2,36.3,4.0,4.7,118,521038,2058900,544714,23676
192,94,17,5,True,2019-10-27T16:30:00Z,2,1,10,90,0,1,0,1,0,0,0,0,0,0,0,18,9.2,32.6,22.0,6.4,118,72746,2120143,110812,38066
192,102,2,12,False,2019-11-02T15:00:00Z,1,2,11,90,1,1,0,1,0,0,0,1,0,0,3,29,53.0,45.7,78.0,17.7,119,40945,2173207,99733,58788
192,114,11,7,True,2019-11-10T16:30:00Z,3,1,12,90,1,0,0,1,0,0,0,0,0,0,0,21,47.4,22.3,39.0,10.9,120,209439,2401403,225027,15588
192,125,7,9,False,2019-11-23T15:00:00Z,1,2,13,90,1,0,0,1,0,0,0,0,0,0,2,26,37.0,24.7,40.0,10.2,121,339909,2768501,356312,16403
192,134,4,2,True,2019-11-30T15:00:00Z,2,1,14,90,0,0,0,1,0,0,0,0,0,0,0,17,23.2,32.9,60.0,11.6,122,128984,2894269,146886,17902
192,149,8,15,True,2019-12-04T20:15:00Z,5,2,15,90,1,2,0,2,0,0,0,0,0,0,2,40,66.0,28.1,31.0,12.5,122,-3831,2888125,38019,41850
192,152,3,0,False,2019-12-07T15:00:00Z,0,3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,123,161809,3065463,191240,29431
192,166,18,6,True,2019-12-14T12:30:00Z,2,0,17,90,0,1,1,0,0,0,0,0,0,0,0,15,23.4,15.2,31.0,7.0,123,1511,3076237,76746,75235
192,186,9,6,False,2019-12-26T20:00:00Z,0,4,19,90,0,1,1,0,0,0,0,0,0,0,0,13,22.2,36.3,44.0,10.3,122,125310,2675872,166363,41053
192,194,20,11,True,2019-12-29T16:30:00Z,1,0,20,90,1,0,1,0,0,0,0,0,0,0,3,35,40.0,15.5,41.0,9.7,122,44849,2724536,76332,31483
192,204,15,8,True,2020-01-02T20:00:00Z,2,0,21,77,1,0,1,0,0,0,0,0,0,0,0,25,45.4,15.8,88.0,14.9,123,84941,2818918,114078,29137
192,219,17,3,False,2020-01-11T17:30:00Z,0,1,22,80,0,0,1,0,0,0,0,0,0,0,0,10,12.6,10.6,31.0,5.4,123,93711,2923945,128999,35288
192,224,12,3,True,2020-01-19T16:30:00Z,2,0,23,82,0,0,1,0,0,0,0,0,0,0,0,0,3.2,25.5,41.0,7.0,124,8515,2935873,77610,69095
192,237,20,1,False,2020-01-23T20:00:00Z,1,2,24,32,0,0,0,0,0,0,0,0,0,0,0,6,5.4,17.0,4.0,2.6,124,128182,3098989,183894,55712
192,180,19,0,False,2020-01-29T19:45:00Z,0,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,124,128182,3098989,183894,55712
192,245,16,0,True,2020-02-01T15:00:00Z,4,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,123,-1245778,1801221,17452,1263230
192,257,14,0,False,2020-02-15T17:30:00Z,None,None,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,122,-325714,1497929,14850,340564
