element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
320,3,5,2,False,2019-08-10T14:00:00Z,3,0,1,90,0,0,0,3,0,0,0,0,0,0,0,7,2.4,3.1,29.0,3.5,65,0,131545,0,0
320,19,10,2,True,2019-08-17T14:00:00Z,1,2,2,90,0,0,0,2,0,0,0,0,0,0,0,6,4.6,22.9,11.0,3.9,65,-17182,119174,2549,19731
320,23,4,10,False,2019-08-24T14:00:00Z,0,2,3,90,1,0,1,0,0,0,0,0,0,0,2,31,46.2,23.5,41.0,11.1,64,-16680,104328,3129,19809
320,39,12,0,True,2019-08-31T11:30:00Z,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,64,-18769,87893,12843,31612
320,47,15,0,False,2019-09-14T14:00:00Z,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,63,-29175,58555,197,29372
320,59,3,2,True,2019-09-20T19:00:00Z,1,3,6,87,0,0,0,2,0,0,0,0,0,0,0,9,14.4,40.4,36.0,9.1,63,-7374,52092,735,8109
320,69,17,2,False,2019-09-28T14:00:00Z,2,1,7,90,0,0,0,2,0,0,0,0,0,0,0,6,1.2,18.8,51.0,7.1,63,-966,51802,2450,3416
320,78,6,2,True,2019-10-06T13:00:00Z,1,4,8,80,0,0,0,3,0,0,0,0,0,0,0,6,0.4,2.3,9.0,1.2,63,-1083,51030,1803,2886
320,90,20,2,False,2019-10-19T14:00:00Z,1,1,9,90,0,0,0,1,0,0,0,0,0,0,0,11,4.6,5.0,28.0,3.8,63,-1036,50468,1683,2719
320,98,9,2,True,2019-10-25T19:00:00Z,0,9,10,90,0,0,0,9,0,0,0,0,0,0,0,11,11.0,2.6,29.0,4.3,63,-824,50003,1294,2118
320,107,11,2,False,2019-11-02T15:00:00Z,2,1,11,90,0,0,0,2,0,0,0,0,0,0,0,15,10.0,23.5,2.0,3.6,63,-4051,45982,297,4348
320,118,8,2,True,2019-11-09T15:00:00Z,1,2,12,80,0,0,0,2,0,0,0,0,0,0,0,6,3.4,3.4,2.0,0.9,62,-171,46246,1549,1720
320,121,1,2,False,2019-11-23T15:00:00Z,2,2,13,90,0,0,0,2,0,0,0,0,0,0,0,10,16.8,23.3,30.0,7.0,62,-1530,44771,1037,2567
320,138,18,0,True,2019-11-30T17:30:00Z,2,1,14,56,0,0,0,1,0,0,0,1,0,0,0,-1,1.2,3.4,17.0,2.2,62,725,45776,2214,1489
320,150,14,2,True,2019-12-04T19:30:00Z,2,1,15,90,0,0,0,1,0,0,0,0,0,0,0,9,15.0,13.7,46.0,7.5,62,-1254,44568,698,1952
320,156,13,2,False,2019-12-08T14:00:00Z,2,1,16,90,0,0,0,2,0,0,0,0,0,0,0,17,24.4,3.4,34.0,6.2,62,-1168,43487,643,1811
320,169,19,1,True,2019-12-14T17:30:00Z,0,1,17,45,0,0,0,1,0,0,0,0,0,0,0,0,0.0,1.8,0.0,0.1,62,-970,42645,794,1764
320,171,2,2,False,2019-12-21T15:00:00Z,1,3,18,90,0,0,0,1,0,0,0,0,0,0,0,6,6.6,28.6,10.0,4.5,62,-939,41899,662,1601
320,183,6,8,False,2019-12-26T15:00:00Z,0,2,19,90,1,0,1,0,0,0,0,0,0,0,0,22,39.6,1.0,38.0,7.9,62,-743,41176,460,1203
320,198,7,2,True,2019-12-28T15:00:00Z,1,1,20,90,0,0,0,1,0,0,0,0,0,0,0,10,7.0,12.7,8.0,2.8,62,6122,47981,6807,685
320,208,17,3,True,2020-01-01T15:00:00Z,1,0,21,90,0,0,1,0,0,0,0,0,0,0,0,7,18.2,27.0,59.0,10.4,62,-933,46898,2156,3089
320,216,9,2,False,2020-01-11T15:00:00Z,1,2,22,90,0,0,0,1,0,0,0,0,0,0,0,13,16.8,33.5,4.0,5.4,62,-845,46276,1860,2705
