element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
217,8,19,14,False,2019-08-10T11:30:00Z,0,5,1,90,0,3,1,0,0,0,0,0,0,0,2,45,52.6,51.2,39.0,14.3,85,0,64307,0,0
217,16,17,1,True,2019-08-17T16:30:00Z,2,2,2,10,0,0,0,0,0,0,0,0,0,0,0,1,0.2,1.0,6.0,0.7,85,104906,264651,128480,23574
217,22,3,1,False,2019-08-25T13:00:00Z,1,3,3,11,0,0,0,0,0,0,0,0,0,0,0,5,4.6,13.6,2.0,2.0,85,-26623,249610,41077,67700
217,37,4,3,True,2019-08-31T14:00:00Z,4,0,4,90,0,0,1,0,0,0,0,0,0,0,0,18,25.2,66.3,44.0,13.6,85,-45623,215727,19764,65387
217,46,14,1,False,2019-09-14T16:30:00Z,3,2,5,17,0,0,0,0,0,0,0,0,0,0,0,5,6.0,18.8,0.0,2.5,85,-27951,198796,10244,38195
217,57,18,15,True,2019-09-21T14:00:00Z,8,0,6,90,1,2,1,0,0,0,0,0,0,0,1,50,69.0,51.8,50.0,17.1,85,-19378,182953,4428,23806
217,65,8,10,False,2019-09-28T16:30:00Z,1,3,7,90,1,0,0,1,0,0,0,0,0,0,3,45,60.8,59.7,61.0,18.2,85,9466,198488,20058,10592
217,75,20,1,True,2019-10-06T13:00:00Z,0,2,8,59,0,0,0,0,0,0,0,0,0,0,0,1,0.0,4.9,22.0,2.6,86,429862,663694,441634,11772
217,84,7,0,False,2019-10-19T16:30:00Z,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,87,-45150,604427,85948,131098
217,95,2,0,True,2019-10-26T11:30:00Z,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,86,-143504,460633,11006,154510
217,107,16,0,True,2019-11-02T15:00:00Z,2,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,85,-139643,324574,6537,146180
217,114,10,0,False,2019-11-10T16:30:00Z,3,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,84,-55691,272610,4592,60283
217,127,6,10,True,2019-11-23T17:30:00Z,2,1,13,90,1,0,0,1,0,0,0,0,0,0,3,36,39.2,16.9,61.0,11.7,83,-28074,248374,8708,36782
217,136,13,2,False,2019-11-30T12:30:00Z,2,2,14,68,0,0,0,1,0,0,0,0,0,0,0,15,10.2,9.2,8.0,2.7,83,11674,263821,21585,9911
217,142,5,6,False,2019-12-03T20:15:00Z,1,4,15,18,1,0,0,1,0,0,0,0,0,0,0,24,37.6,11.8,9.0,5.8,83,-10943,252671,5305,16248
217,155,12,4,True,2019-12-07T17:30:00Z,1,2,16,25,0,1,0,0,0,0,0,0,0,0,0,13,19.2,21.1,32.0,7.2,83,-1796,252801,9559,11355
217,161,1,1,False,2019-12-15T16:30:00Z,0,3,17,20,0,0,0,0,0,0,0,0,0,0,0,1,4.0,3.7,17.0,2.5,83,-6086,249079,10071,16157
217,175,9,8,True,2019-12-21T17:30:00Z,3,1,18,90,1,0,0,1,0,0,0,0,0,0,1,30,50.8,50.7,114.0,21.6,83,-7245,244558,8737,15982
217,190,20,1,False,2019-12-27T19:45:00Z,3,2,19,45,0,0,0,0,0,0,0,0,0,0,0,5,7.4,1.7,4.0,1.3,83,77509,326710,85512,8003
217,195,15,6,True,2019-12-29T18:00:00Z,2,0,20,90,0,1,1,0,0,0,0,0,0,0,0,25,26.6,33.2,66.0,12.6,83,11362,338259,31046,19684
217,205,8,5,True,2020-01-01T17:30:00Z,2,1,21,90,0,1,0,1,0,0,0,0,0,0,0,21,22.6,45.6,49.0,11.7,83,8396,348536,35972,27576
217,211,2,17,False,2020-01-12T16:30:00Z,1,6,22,90,2,1,0,1,0,0,0,0,0,0,2,69,94.4,40.8,58.0,19.3,84,38861,392304,67151,28290
217,225,7,1,True,2020-01-18T15:00:00Z,2,2,23,17,0,0,0,1,0,0,0,0,0,0,0,1,0.8,1.9,8.0,1.1,85,285700,691686,308158,22458
217,236,15,3,False,2020-01-21T19:30:00Z,0,1,24,90,0,0,1,0,0,0,0,0,0,0,0,20,11.6,40.9,54.0,10.7,85,-18840,665349,87452,106292
217,248,17,2,False,2020-02-02T16:30:00Z,2,0,25,71,0,0,0,2,0,0,0,0,0,0,0,11,12.4,27.0,30.0,6.9,85,-15641,656354,94424,110065
217,256,19,0,True,2020-02-19T19:30:00Z,2,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,85,61440,725611,118606,57166
217,265,9,8,False,2020-02-22T17:30:00Z,0,1,27,90,0,1,1,0,0,0,0,0,0,0,2,34,38.0,69.7,38.0,14.6,85,-113418,609886,25429,138847
