element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
409,5,9,2,False,2019-08-11T13:00:00Z,0,0,1,90,0,0,1,0,0,0,0,0,0,0,0,10,18.8,12.2,30.0,6.1,75,0,1293686,0,0
409,20,12,2,True,2019-08-19T19:00:00Z,1,1,2,90,0,0,0,1,0,0,0,0,0,0,0,6,4.6,2.5,22.0,2.9,75,-124842,1237196,37818,162660
409,30,5,9,True,2019-08-25T15:30:00Z,1,1,3,90,1,0,0,1,0,0,0,0,0,0,3,31,40.4,24.4,43.0,10.8,75,-132727,1128333,73959,206686
409,35,8,5,False,2019-09-01T13:00:00Z,3,2,4,90,1,0,0,3,0,0,0,1,0,0,0,20,37.6,2.8,54.0,9.4,74,-126964,1015025,45795,172759
409,50,6,2,True,2019-09-14T14:00:00Z,2,5,5,69,0,0,0,4,0,0,0,0,0,0,0,2,0.0,5.3,13.0,1.8,74,-83141,943841,39620,122761
409,54,7,2,False,2019-09-22T13:00:00Z,1,1,6,75,0,0,0,1,0,0,0,0,0,0,0,14,13.2,41.6,27.0,8.2,73,-186774,760019,9457,196231
409,70,18,2,True,2019-09-28T14:00:00Z,2,0,7,79,0,0,1,0,0,0,0,0,0,0,0,2,0.0,12.0,13.0,2.4,72,-100727,664936,16753,117480
409,75,11,10,False,2019-10-06T13:00:00Z,0,2,8,90,0,2,1,0,0,0,0,0,0,0,2,31,41.8,31.0,30.0,10.3,72,-91022,573994,3918,94940
409,90,16,7,True,2019-10-19T14:00:00Z,1,1,9,90,1,0,0,1,0,0,0,1,0,0,2,26,31.0,3.6,23.0,5.8,71,49463,633193,74527,25064
409,96,13,2,False,2019-10-27T14:00:00Z,1,1,10,90,0,0,0,1,0,0,0,0,0,0,0,14,12.2,32.3,13.0,5.8,71,105340,742833,118427,13087
409,101,1,9,False,2019-11-02T15:00:00Z,1,1,11,90,1,0,0,1,0,0,0,0,0,0,3,29,55.0,14.4,116.0,18.5,72,4409,747616,56915,52506
409,120,2,9,True,2019-11-10T14:00:00Z,2,1,12,89,1,0,1,0,0,0,0,0,0,0,3,33,37.0,46.3,41.0,12.4,73,155927,920928,174452,18525
409,123,3,7,False,2019-11-23T15:00:00Z,1,2,13,90,1,0,0,1,0,0,0,0,0,0,1,27,43.6,24.2,87.0,15.5,74,130901,1050305,176873,45972
409,140,15,5,True,2019-12-01T14:00:00Z,1,1,14,90,0,1,0,1,0,0,0,0,0,0,0,15,31.2,29.8,103.0,16.4,76,458823,1521027,484551,25728
409,146,19,2,True,2019-12-04T19:30:00Z,2,0,15,83,0,0,1,0,0,0,0,0,0,0,0,10,10.0,27.1,69.0,10.6,77,171917,1689040,200485,28568
409,153,4,5,False,2019-12-08T16:30:00Z,2,2,16,84,0,1,0,2,0,0,0,0,0,0,0,20,25.2,44.8,12.0,8.2,76,-184708,1501317,41338,226046
409,170,17,5,True,2019-12-15T14:00:00Z,1,2,17,90,0,1,0,2,0,0,0,0,0,0,0,13,22.4,17.4,35.0,7.5,75,-253783,1247894,23694,277477
409,177,14,7,False,2019-12-21T15:00:00Z,1,2,18,90,1,0,0,1,0,0,0,0,0,0,1,30,38.6,26.2,66.0,13.1,75,25534,1307730,75566,50032
409,190,11,11,True,2019-12-27T19:45:00Z,3,2,19,90,1,1,0,2,0,0,0,0,0,0,2,41,56.2,38.2,109.0,20.3,75,-63155,1220075,31596,94751
409,194,10,1,False,2019-12-29T16:30:00Z,1,0,20,18,0,0,0,0,0,0,0,0,0,0,0,2,4.2,10.3,20.0,3.5,75,6226,1231125,53917,47691
409,209,18,2,False,2020-01-01T15:00:00Z,2,1,21,90,0,0,0,2,0,0,0,0,0,0,0,2,0.0,4.7,26.0,2.6,75,95099,1334776,150648,55549
409,220,13,2,True,2020-01-11T15:00:00Z,1,1,22,90,0,0,0,1,0,0,0,0,0,0,0,3,5.8,5.4,67.0,7.8,75,66072,1408421,146913,80841
409,228,16,13,False,2020-01-18T15:00:00Z,2,3,23,90,2,0,0,2,0,0,0,0,0,0,3,50,72.4,6.9,80.0,15.9,75,-184908,1222845,43596,228504
409,237,10,8,True,2020-01-23T20:00:00Z,1,2,24,90,1,0,0,2,0,0,0,0,0,0,2,38,44.2,36.3,54.0,13.5,75,60882,1279627,161571,100689
409,246,12,2,False,2020-02-01T17:30:00Z,0,0,25,90,0,0,1,0,0,0,0,0,0,0,0,5,8.0,2.0,38.0,4.8,76,457727,1767352,501398,43671
409,260,9,0,True,2020-02-14T20:00:00Z,None,None,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,77,101903,1861897,157059,55156
