element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
395,8,11,2,True,2019-08-10T11:30:00Z,0,5,1,90,0,0,0,5,0,0,0,0,0,0,0,15,16.0,1.8,0.0,1.8,50,0,157759,0,0
395,13,4,1,False,2019-08-17T14:00:00Z,1,1,2,90,0,0,0,1,0,0,0,1,0,0,0,9,8.2,11.9,1.0,2.1,50,-4577,166213,9259,13836
395,29,18,2,False,2019-08-24T14:00:00Z,1,3,3,90,0,0,0,1,0,0,0,0,0,0,0,14,21.6,1.8,0.0,2.3,50,-18546,148806,2611,21157
395,40,14,3,True,2019-08-31T14:00:00Z,2,0,4,90,0,0,1,0,0,0,0,0,0,0,0,12,17.8,1.2,1.0,2.0,49,-13930,136712,3279,17209
395,41,2,3,False,2019-09-16T19:00:00Z,0,0,5,90,0,0,1,0,0,0,0,0,0,0,0,16,20.8,15.2,18.0,5.4,49,-6270,132772,6127,12397
395,60,12,3,True,2019-09-22T13:00:00Z,2,0,6,90,0,0,1,0,0,0,0,0,0,0,0,14,6.2,2.2,0.0,0.8,49,-5781,128014,3146,8927
395,62,3,2,False,2019-09-28T14:00:00Z,2,2,7,90,0,0,0,2,0,0,0,0,0,0,0,20,30.2,2.7,7.0,4.0,49,-3108,126133,5101,8209
395,80,7,2,True,2019-10-05T16:30:00Z,1,2,8,90,0,0,0,2,0,0,0,0,0,0,0,11,6.8,3.3,0.0,1.0,49,-3142,123629,4144,7286
395,85,8,1,False,2019-10-19T11:30:00Z,2,0,9,90,0,0,0,2,0,0,0,1,0,0,0,13,10.4,11.3,2.0,2.4,49,-4464,119860,3007,7471
395,100,15,2,True,2019-10-26T14:00:00Z,1,1,10,90,0,0,0,1,0,0,0,0,0,0,0,21,17.4,3.8,9.0,3.0,48,-2920,117449,2333,5253
395,110,13,2,True,2019-11-02T15:00:00Z,2,3,11,90,0,0,0,3,0,0,0,0,0,0,0,12,7.4,6.4,1.0,1.5,48,-3060,114875,3681,6741
395,111,5,2,False,2019-11-09T15:00:00Z,3,0,12,90,0,0,0,3,0,0,0,0,0,0,0,14,12.8,11.5,0.0,2.4,48,-3138,111956,1978,5116
395,130,17,2,True,2019-11-23T12:30:00Z,2,3,13,90,0,0,0,3,0,0,0,0,0,0,0,17,20.8,1.4,0.0,2.2,48,-3897,108602,2534,6431
395,132,6,3,False,2019-11-30T15:00:00Z,0,1,14,90,0,0,1,0,0,0,0,0,0,0,0,14,14.6,2.8,2.0,1.9,48,-3086,105794,1723,4809
395,146,20,1,False,2019-12-04T19:30:00Z,2,0,15,90,0,0,0,2,0,0,0,1,0,0,0,22,26.4,5.0,18.0,4.9,48,-1358,104840,1213,2571
395,160,1,2,True,2019-12-09T20:00:00Z,1,3,16,90,0,0,0,3,0,0,0,0,0,0,0,20,20.8,3.7,13.0,3.8,47,-2146,102922,1345,3491
395,169,16,3,False,2019-12-14T17:30:00Z,0,1,17,90,0,0,1,0,0,0,0,0,0,0,0,9,16.6,14.8,0.0,3.1,47,-980,102411,2584,3564
395,184,7,2,False,2019-12-26T15:00:00Z,2,1,19,90,0,0,0,2,0,0,0,0,0,0,0,14,26.8,6.3,19.0,5.2,47,-457,99969,1886,2343
395,200,9,1,True,2019-12-28T17:30:00Z,1,2,20,90,0,0,0,2,0,0,0,1,0,0,0,10,16.4,27.1,19.0,6.3,47,278,100452,2281,2003
395,210,3,7,True,2020-01-01T17:30:00Z,4,0,21,90,0,1,1,0,0,0,0,0,0,0,1,33,34.2,11.9,0.0,4.6,47,333,101042,3922,3589
395,218,15,2,False,2020-01-10T20:00:00Z,1,0,22,90,0,0,0,1,0,0,0,0,0,0,0,18,15.8,1.6,0.0,1.7,47,4150,105775,8335,4185
