element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
255,10,1,2,True,2019-08-11T13:00:00Z,0,1,1,90,0,0,0,1,0,0,0,0,0,0,0,24,27.6,0.8,0.0,2.8,45,0,13306,0,0
255,17,14,0,False,2019-08-17T14:00:00Z,3,1,2,90,0,0,0,3,0,0,0,1,0,0,0,6,9.0,1.1,33.0,4.3,45,-277,15049,786,1063
255,28,17,7,False,2019-08-25T15:30:00Z,0,1,3,90,0,0,1,0,0,0,0,0,0,0,1,27,24.2,0.1,0.0,2.4,45,-1522,13839,179,1701
255,38,18,1,True,2019-08-31T14:00:00Z,1,1,4,90,0,0,0,1,0,0,0,1,0,0,0,6,24.6,1.8,9.0,3.5,45,7048,23826,9796,2748
255,44,10,1,False,2019-09-14T11:30:00Z,3,1,5,90,0,0,0,3,0,0,0,0,0,0,0,12,20.2,0.1,0.0,2.0,45,-1616,21528,1358,2974
255,58,4,7,True,2019-09-21T16:30:00Z,0,0,6,90,0,0,1,0,0,0,0,0,0,0,1,26,14.6,12.8,0.0,2.7,45,1393,23832,2681,1288
255,66,9,-2,False,2019-09-29T15:30:00Z,5,0,7,90,0,0,0,5,1,0,0,0,0,0,0,10,13.4,5.0,0.0,1.8,45,647,24871,2704,2057
255,76,12,0,True,2019-10-06T15:30:00Z,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1826,22985,415,2241
255,83,6,0,False,2019-10-19T14:00:00Z,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-1347,21859,193,1540
255,96,20,0,True,2019-10-27T14:00:00Z,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-985,21036,181,1166
255,110,19,1,False,2019-11-02T15:00:00Z,2,3,11,3,0,0,0,1,0,0,0,0,0,0,0,3,2.0,0.0,0.0,0.2,45,-1291,19860,173,1464
255,116,3,6,True,2019-11-09T15:00:00Z,2,1,12,70,0,0,1,0,0,0,0,0,0,0,0,20,8.4,0.1,0.0,0.9,44,-929,19026,115,1044
255,122,2,1,False,2019-11-25T20:00:00Z,2,0,13,62,0,0,0,2,0,0,0,0,0,0,0,8,11.6,0.3,2.0,1.4,44,154,19432,769,615
255,136,11,1,True,2019-11-30T12:30:00Z,2,2,14,90,0,0,0,2,0,0,0,0,0,0,0,14,24.0,0.6,0.0,2.5,44,-436,18966,210,646
255,145,15,6,False,2019-12-05T19:30:00Z,0,2,15,90,0,0,1,0,0,0,0,0,0,0,0,23,20.8,0.3,0.0,2.1,44,-123,18930,275,398
255,156,16,2,True,2019-12-08T14:00:00Z,2,1,16,90,0,0,0,1,0,0,0,0,0,0,0,10,23.8,1.0,2.0,2.7,44,1446,20588,1835,389
255,162,5,2,False,2019-12-14T15:00:00Z,1,0,17,90,0,0,0,1,0,0,0,0,0,0,0,10,22.0,1.9,0.0,2.4,44,462,21143,1267,805
255,176,7,8,True,2019-12-21T15:00:00Z,1,0,18,90,0,0,1,0,0,0,0,0,0,0,2,28,19.0,37.2,4.0,6.0,44,232,21707,797,565
255,187,12,0,False,2019-12-26T17:30:00Z,4,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-988,20485,413,1401
255,196,8,0,True,2019-12-28T15:00:00Z,1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-1300,19198,36,1336
255,206,9,0,True,2020-01-01T15:00:00Z,0,3,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-1915,17308,30,1945
255,220,20,1,False,2020-01-11T15:00:00Z,1,1,22,12,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,44,-1238,16107,79,1317
255,226,6,0,True,2020-01-18T17:30:00Z,1,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-853,15263,35,888
255,233,8,0,False,2020-01-21T19:30:00Z,2,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-810,14442,9,819
255,247,14,0,True,2020-02-01T15:00:00Z,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-764,13719,8,772
255,251,1,0,False,2020-02-16T16:30:00Z,4,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-420,13317,9,429
255,264,7,0,False,2020-02-22T15:00:00Z,1,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,-436,12886,12,448
