element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
439,7,4,1,True,2019-08-10T14:00:00Z,0,3,1,90,0,0,0,3,0,0,0,0,0,0,0,13,21.2,0.4,37.0,5.9,50,0,16860,0,0
439,15,8,2,False,2019-08-17T14:00:00Z,1,0,2,90,0,0,0,1,0,0,0,0,0,0,0,10,22.6,0.2,7.0,3.0,50,-1755,16862,339,2094
439,29,19,1,True,2019-08-24T14:00:00Z,1,3,3,90,0,0,0,3,0,0,0,0,0,0,0,11,8.8,0.7,20.0,3.0,50,-1127,16488,615,1742
439,38,13,1,False,2019-08-31T14:00:00Z,1,1,4,90,0,0,0,1,0,0,0,1,0,0,0,5,10.6,0.5,40.0,5.1,50,-1348,15679,458,1806
439,49,1,1,True,2019-09-15T15:30:00Z,2,2,5,90,0,0,0,2,0,0,0,0,0,0,0,14,12.8,0.3,0.0,1.3,49,-1094,15107,646,1740
439,57,11,-2,False,2019-09-21T14:00:00Z,8,0,6,90,0,0,0,8,0,0,0,0,0,0,0,14,32.0,0.1,0.0,3.2,49,-630,14774,399,1029
439,70,20,1,False,2019-09-28T14:00:00Z,2,0,7,90,0,0,0,2,0,0,0,0,0,0,0,13,11.2,1.1,2.0,1.4,49,-1292,13686,210,1502
439,79,15,1,True,2019-10-05T14:00:00Z,0,0,8,33,0,0,0,0,0,0,0,0,0,0,0,1,17.2,0.2,17.0,3.4,49,-257,13770,687,944
439,89,17,2,False,2019-10-19T14:00:00Z,1,1,9,90,0,0,0,1,0,0,0,0,0,0,0,14,39.0,0.0,0.0,3.9,48,-781,13082,151,932
439,99,3,5,True,2019-10-26T14:00:00Z,0,0,10,90,0,0,1,0,0,0,0,1,0,0,0,21,25.4,0.0,18.0,4.3,48,-78,13163,311,389
439,109,6,0,True,2019-11-02T17:30:00Z,1,2,11,90,0,0,0,2,0,0,0,1,0,0,0,11,19.4,0.1,2.0,2.2,48,-13,13324,500,513
439,117,14,6,False,2019-11-08T20:00:00Z,0,2,12,90,0,0,1,0,0,0,0,0,0,0,0,26,20.0,0.1,0.0,2.0,48,-84,13437,522,606
439,129,5,1,True,2019-11-23T15:00:00Z,0,3,13,45,0,0,0,0,0,0,0,0,0,0,0,5,3.2,10.0,6.0,1.9,48,443,14201,1045,602
439,138,16,0,False,2019-11-30T17:30:00Z,2,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-1407,12645,23,1430
439,143,9,0,False,2019-12-04T19:30:00Z,2,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-657,12037,12,669
439,159,7,0,True,2019-12-07T15:00:00Z,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-702,11344,4,706
439,166,10,0,False,2019-12-14T12:30:00Z,2,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-472,10887,46,518
439,179,12,0,True,2019-12-22T14:00:00Z,2,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-58,10943,121,179
439,188,15,1,False,2019-12-26T15:00:00Z,1,1,19,1,0,0,0,0,0,0,0,0,0,0,0,4,4.0,0.0,0.0,0.4,48,-55,10974,129,184
439,199,2,1,True,2019-12-28T15:00:00Z,3,0,20,30,0,0,0,0,0,0,0,0,0,0,0,3,5.0,0.0,0.0,0.5,48,16,11073,161,145
439,209,20,1,True,2020-01-01T15:00:00Z,2,1,21,90,0,0,0,1,0,0,0,1,0,0,0,6,21.0,0.6,2.0,2.4,48,-53,11090,222,275
439,212,3,6,False,2020-01-12T14:00:00Z,0,3,22,90,0,0,1,0,0,0,0,0,0,0,0,22,15.6,3.1,0.0,1.9,48,130,11364,440,310
439,229,17,6,True,2020-01-18T12:30:00Z,0,0,23,90,0,0,1,0,0,0,0,0,0,0,0,21,17.0,0.3,0.0,1.7,48,198,11680,557,359
439,231,2,1,False,2020-01-21T19:30:00Z,2,1,24,90,0,0,0,2,0,0,0,0,0,0,0,8,12.8,0.3,0.0,1.3,48,1102,13071,1394,292
439,249,8,0,True,2020-02-01T15:00:00Z,2,3,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,66,13135,604,538
439,253,4,0,False,2020-02-08T17:30:00Z,1,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,-637,12508,122,759
